Date,cnt
2023-03-13,725
2023-03-14,676
2023-03-15,642
2023-03-16,601
2023-03-17,564
2023-03-18,527
2023-03-19,545
2023-03-20,633
2023-03-21,647
2023-03-22,613
2023-03-23,659
2023-03-24,551
2023-03-25,578
2023-03-26,572
2023-03-27,674
2023-03-28,621
2023-03-29,652
2023-03-30,631
2023-03-31,695
2023-04-01,566
2023-04-02,615
2023-04-03,757
2023-04-04,659
2023-04-05,731
2023-04-06,595
2023-04-07,581
2023-04-08,552
2023-04-09,539
2023-04-10,729
2023-04-11,650
2023-04-12,631
2023-04-13,717
2023-04-14,620
2023-04-15,592
2023-04-16,593
2023-04-17,758
2023-04-18,626
2023-04-19,637
2023-04-20,637
2023-04-21,700
2023-04-22,530
2023-04-23,562
2023-04-24,707
2023-04-25,665
2023-04-26,670
2023-04-27,643
2023-04-28,618
2023-04-29,592
2023-04-30,548
2023-05-01,753
2023-05-02,741
2023-05-03,656
2023-05-04,592
2023-05-05,623
2023-05-06,535
2023-05-07,611
2023-05-08,705
2023-05-09,665
2023-05-10,643
2023-05-11,588
2023-05-12,583
2023-05-13,577
2023-05-14,500
2023-05-15,704
2023-05-16,648
2023-05-17,725
2023-05-18,601
2023-05-19,540
2023-05-20,561
2023-05-21,544
2023-05-22,648
2023-05-23,632
2023-05-24,721
2023-05-25,695
2023-05-26,639
2023-05-27,596
2023-05-28,544
2023-05-29,516
2023-05-30,657
2023-05-31,663
2023-06-01,620
2023-06-02,717
2023-06-03,607
2023-06-04,515
2023-06-05,666
2023-06-06,629
2023-06-07,581
2023-06-08,726
2023-06-09,627
2023-06-10,561
2023-06-11,587
2023-06-12,731
2023-06-13,644
2023-06-14,616
2023-06-15,616
2023-06-16,604
2023-06-17,577
2023-06-18,562
2023-06-19,662
2023-06-20,653
2023-06-21,624
2023-06-22,706
2023-06-23,625
2023-06-24,624
2023-06-25,568
2023-06-26,744
2023-06-27,609
2023-06-28,676
2023-06-29,702
2023-06-30,551
2023-07-01,586
2023-07-02,620
2023-07-03,688
2023-07-04,488
2023-07-05,791
2023-07-06,759
2023-07-07,589
2023-07-08,568
2023-07-09,554
2023-07-10,721
2023-07-11,629
2023-07-12,690
2023-07-13,621
2023-07-14,714
2023-07-15,659
2023-07-16,587
2023-07-17,748
2023-07-18,609
2023-07-19,588
2023-07-20,603
2023-07-21,637
2023-07-22,573
2023-07-23,670
2023-07-24,779
2023-07-25,657
2023-07-26,643
2023-07-27,661
2023-07-28,681
2023-07-29,622
2023-07-30,582
2023-07-31,728
2023-08-01,682
2023-08-02,666
2023-08-03,684
2023-08-04,610
